ASGC_2010,DT,IND_R,TSEST,FREQUENCY,TIME_FORMAT,obsTime,obsValue,OBS_STATUS
0,2,41,10,M,P1M,1982-04,1162.6,
0,2,41,10,M,P1M,1982-05,1150.9,
0,2,41,10,M,P1M,1982-06,1160,
0,2,41,10,M,P1M,1982-07,1206.4,
0,2,41,10,M,P1M,1982-08,1152.5,
0,2,41,10,M,P1M,1982-09,1189.1,
0,2,41,10,M,P1M,1982-10,1247.4,
0,2,41,10,M,P1M,1982-11,1280.7,
0,2,41,10,M,P1M,1982-12,1483.7,
0,2,41,10,M,P1M,1983-01,1202.8,
0,2,41,10,M,P1M,1983-02,1224.2,
0,2,41,10,M,P1M,1983-03,1332.4,
0,2,41,10,M,P1M,1983-04,1270.9,
0,2,41,10,M,P1M,1983-05,1251.7,
0,2,41,10,M,P1M,1983-06,1269.3,
0,2,41,10,M,P1M,1983-07,1292.8,
0,2,41,10,M,P1M,1983-08,1337,
0,2,41,10,M,P1M,1983-09,1322.8,
0,2,41,10,M,P1M,1983-10,1355.4,
0,2,41,10,M,P1M,1983-11,1410.9,
0,2,41,10,M,P1M,1983-12,1642.3,
0,2,41,10,M,P1M,1984-01,1314.5,
0,2,41,10,M,P1M,1984-02,1335.4,
0,2,41,10,M,P1M,1984-03,1388.8,
0,2,41,10,M,P1M,1984-04,1346.5,
0,2,41,10,M,P1M,1984-05,1404.3,
0,2,41,10,M,P1M,1984-06,1367.6,
0,2,41,10,M,P1M,1984-07,1361.6,
0,2,41,10,M,P1M,1984-08,1436.7,
0,2,41,10,M,P1M,1984-09,1355.6,
0,2,41,10,M,P1M,1984-10,1462.7,
0,2,41,10,M,P1M,1984-11,1501.4,
0,2,41,10,M,P1M,1984-12,1686.6,
0,2,41,10,M,P1M,1985-01,1484.7,
0,2,41,10,M,P1M,1985-02,1397,
0,2,41,10,M,P1M,1985-03,1495,
0,2,41,10,M,P1M,1985-04,1474.9,
0,2,41,10,M,P1M,1985-05,1556.8,
0,2,41,10,M,P1M,1985-06,1453.7,
0,2,41,10,M,P1M,1985-07,1558.6,
0,2,41,10,M,P1M,1985-08,1585.7,
0,2,41,10,M,P1M,1985-09,1518,
0,2,41,10,M,P1M,1985-10,1655.7,
0,2,41,10,M,P1M,1985-11,1667.3,
0,2,41,10,M,P1M,1985-12,1867.3,
0,2,41,10,M,P1M,1986-01,1674.4,
0,2,41,10,M,P1M,1986-02,1558.5,
0,2,41,10,M,P1M,1986-03,1676.6,
0,2,41,10,M,P1M,1986-04,1643.7,
0,2,41,10,M,P1M,1986-05,1746.5,
0,2,41,10,M,P1M,1986-06,1638.5,
0,2,41,10,M,P1M,1986-07,1721.8,
0,2,41,10,M,P1M,1986-08,1720.9,
0,2,41,10,M,P1M,1986-09,1705.7,
0,2,41,10,M,P1M,1986-10,1816.4,
0,2,41,10,M,P1M,1986-11,1774.7,
0,2,41,10,M,P1M,1986-12,2073.6,
0,2,41,10,M,P1M,1987-01,1830.7,
0,2,41,10,M,P1M,1987-02,1710.1,
0,2,41,10,M,P1M,1987-03,1791,
0,2,41,10,M,P1M,1987-04,1824.4,
0,2,41,10,M,P1M,1987-05,1823.3,
0,2,41,10,M,P1M,1987-06,1761.9,
0,2,41,10,M,P1M,1987-07,1856.9,
0,2,41,10,M,P1M,1987-08,1821,
0,2,41,10,M,P1M,1987-09,1830,
0,2,41,10,M,P1M,1987-10,1942.4,
0,2,41,10,M,P1M,1987-11,1885.9,
0,2,41,10,M,P1M,1987-12,2272.4,
0,2,41,10,M,P1M,1988-01,1885.1,
0,2,41,10,M,P1M,1988-02,1845.2,
0,2,41,10,M,P1M,1988-03,2021.6,
0,2,41,10,M,P1M,1988-04,1937.5,
0,2,41,10,M,P1M,1988-05,1907,
0,2,41,10,M,P1M,1988-06,1925.7,
0,2,41,10,M,P1M,1988-07,1932.6,
0,2,41,10,M,P1M,1988-08,1977.6,
0,2,41,10,M,P1M,1988-09,2035.2,
