obsTime,C20,C30,C20Pred,C20PredGrowth,C20PredGrowthR,C20_Adjusted,C20_F,C20_F_80_U,C20_F_80_L,C20_F_95_U,C20_F_95_L,C20_AdjustedGrowth,C20_ActualGrowth,C20_FGrowth,C20_PredErr,C20_AdjErr,C20_FErr,IND_R,TSEST
1982-01-01,,970440.3,2463.62758241078,,,,,,,,,,,,,,,20,20
1982-02-01,,972232.5,2517.8527754014,0.0220103043892556,2.2,,,,,,,,,,,,,20,20
1982-03-01,,971570.8,2497.83223628641,-0.00795143358284949,-0.8,,,,,,,,,,,,,20,20
1982-04-01,3520.3,966272.7,2337.53177038771,-0.064175833576806,-6.42,,,,,,,,,,33.6,,,20,20
1982-05-01,3527.7,962862,2234.33688938496,-0.0441469426469602,-4.41,,,,,,,,0.21,,36.66,,,20,20
1982-06-01,3562.3,958856.4,2113.14258459573,-0.0542417329119014,-5.42,,,,,,,,0.98,,40.68,,,20,20
1982-07-01,3556.4,958188.8,2092.94353379752,-0.00955877324391193,-0.96,,,,,,,,-0.17,,41.15,,,20,20
1982-08-01,3578.3,953407.2,1948.27040423386,-0.0691242392484231,-6.91,,,,,,,,0.62,,45.55,,,20,20
1982-09-01,3580.4,949864.3,1841.07565127856,-0.055020469808683,-5.5,,,,,,,,0.06,,48.58,,,20,20
1982-10-01,3595.1,955745,2019.00338948857,0.0966433606823528,9.66,,,,,,,,0.41,,43.84,,,20,20
1982-11-01,3651.9,941040,1574.08571125669,-0.220364998170995,-22.04,,,,,,,,1.58,,56.9,,,20,20
1982-12-01,3648.7,931746.2,1292.89047712194,-0.178640357462018,-17.86,,,,,,,,-0.09,,64.57,,,20,20
1983-01-01,3697.6,924587.3,1076.28924171261,-0.167532547607201,-16.75,,,,,,,,1.34,,70.89,,,20,20
1983-02-01,3821.6,925154.7,1093.45661951803,0.0159505243944499,1.6,,,,,,,,3.35,,71.39,,,20,20
1983-03-01,3822.4,927272.5,1157.53323692433,0.0586000544169143,5.86,,,,,,,,0.02,,69.72,,,20,20
1983-04-01,3888.2,919270.5,915.4229845468,-0.20916051881226,-20.92,,,,,,,,1.72,,76.46,,,20,20
1983-05-01,3791.8,921621.7,986.561403115913,0.077710981447917,7.77,,,,,,,,-2.48,,73.98,,,20,20
1983-06-01,3841.6,925138.9,1092.97857128165,0.10786674588083,10.79,,,,,,,,1.31,,71.55,,,20,20
1983-07-01,3870.6,927560.9,1166.25913004926,0.0670466564423805,6.7,,,,,,,,0.75,,69.87,,,20,20
1983-08-01,3940.9,935782.9,1415.0257502752,0.213303042022436,21.33,,,,,,,,1.82,,64.09,,,20,20
1983-09-01,3952.3,937605.8,1470.17980914286,0.0389774241613113,3.9,,,,,,,,0.29,,62.8,,,20,20
1983-10-01,3972.8,943154.3,1638.05643190176,0.114187816833626,11.42,,,,,,,,0.52,,58.77,,,20,20
1983-11-01,3981,953669.4,1956.20358446048,0.194222339574322,19.42,,,,,,,,0.21,,50.86,,,20,20
1983-12-01,4020,953587.7,1953.73165149132,-0.00126363788963558,-0.13,,,,,,,,0.98,,51.4,,,20,20
1984-01-01,4039.3,964124.3,2272.52931272614,0.163173719887006,16.32,,,,,,,,0.48,,43.74,,,20,20
1984-02-01,4059.2,952403.6,1917.90526435807,-0.156048173452451,-15.6,,,,,,,,0.49,,52.75,,,20,20
1984-03-01,4103.2,963777,2262.02132839089,0.179422868495014,17.94,,,,,,,,1.08,,44.87,,,20,20
1984-04-01,4096,976594.2,2649.82131923982,0.171439581926843,17.14,,,,,,,,-0.18,,35.31,,,20,20
1984-05-01,4122.7,976921.3,2659.71812798173,0.00373489664002871,0.37,,,,,,,,0.65,,35.49,,,20,20
1984-06-01,4097,975316,2611.1478220405,-0.018261448621279,-1.83,,,,,,,,-0.62,,36.27,,,20,20
1984-07-01,4222.7,975740.3,2623.98553512271,0.00491650184407118,0.49,,,,,,,,3.07,,37.86,,,20,20
1984-08-01,4160.1,979695.5,2743.6549265503,0.045605964600713,4.56,,,,,,,,-1.48,,34.05,,,20,20
1984-09-01,4192.6,977459.6,2676.00504985811,-0.0246568458874124,-2.47,,,,,,,,0.78,,36.17,,,20,20
1984-10-01,4243.3,979184.1,2728.18189692447,0.0194980375949326,1.95,,,,,,,,1.21,,35.71,,,20,20
1984-11-01,4288.3,977215.2,2668.61043030286,-0.0218355919335013,-2.18,,,,,,,,1.06,,37.77,,,20,20
1984-12-01,4301.4,982834.8,2838.6382701255,0.0637139980762736,6.37,,,,,,,,0.31,,34.01,,,20,20
1985-01-01,4342.6,983321.9,2853.37607366626,0.00519185684765013,0.52,,,,,,,,0.96,,34.29,,,20,20
1985-02-01,4379.9,985203.7,2910.31222374424,0.0199539593127748,2,,,,,,,,0.86,,33.55,,,20,20
1985-03-01,4406.1,985622.7,2922.98957887373,0.00435601205467229,0.44,,,,,,,,0.6,,33.66,,,20,20
1985-04-01,4478,984746,2896.46395299778,-0.00907482738483511,-0.91,,,,,,,,1.63,,35.32,,,20,20
1985-05-01,4575.9,997342.2,3277.5773197808,0.131578839912225,13.16,,,,,,,,2.19,,28.37,,,20,20
1985-06-01,4577.1,995366.5,3217.80011088024,-0.0182382299693718,-1.82,,,,,,,,0.03,,29.7,,,20,20
1985-07-01,4648.7,998378.5,3308.93183796861,0.0283211274622764,2.83,,,,,,,,1.56,,28.82,,,20,20
1985-08-01,4654.2,1006107.6,3542.78516859235,0.070673359886223,7.07,,,,,,,,0.12,,23.88,,,20,20
